Title,Listing URL,Price,Location,Address
"2-комнатная квартира, 118.74 м²",https://krisha.kz/a/show/672778536,от 84 305 400 〒,Алматы,"Медеуский р-н, мкр Аскартау, Ремизовка 1а"
"1-комнатная квартира, 45.38 м²",https://krisha.kz/a/show/664168665,от 40 388 200 〒,Алматы,"Бостандыкский р-н, Егизбаева 7г"
"4-комнатная квартира, 93.3 м², 3/5 этаж",https://krisha.kz/a/show/685294211,73 000 000 〒,Алматы,"Жетысуский р-н, мкр Айнабулак-3 151"
"1-комнатная квартира, 46.42 м²",https://krisha.kz/a/show/51613650,от 55 400 000 〒,Алматы,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2"
"1-комнатная квартира, 33.69 м²",https://krisha.kz/a/show/682556880,от 10 780 000 〒,Алматы,"Турксибский р-н, мкр. Жана Куат 1-1330"
"3-комнатная квартира, 71 м², 1/4 этаж",https://krisha.kz/a/show/684101578,43 500 000 〒,Алматы,"Алмалинский р-н, улица Байтурсынова — Гоголя"
"2-комнатная квартира, 43 м², 2/4 этаж",https://krisha.kz/a/show/687078623,36 500 000 〒,Алматы,"Медеуский р-н, Толе Би"
"1-комнатная квартира, 40.1 м², 7/15 этаж",https://krisha.kz/a/show/687210098,29 000 000 〒,Алматы,"Ауэзовский р-н, Утеген батыра 11 — Сайран"
"1-комнатная квартира, 42 м², 3/8 этаж",https://krisha.kz/a/show/682775558,20 500 000 〒,Алматы,"Алатауский р-н, мкр Ожет, Шоссе Северное кольцо 92/10"
"3-комнатная квартира, 63 м², 3/5 этаж",https://krisha.kz/a/show/681917985,35 000 000 〒,Алматы,"Медеуский р-н, Макатаева — Зеленый базар"
"3-комнатная квартира, 74.04 м², 5/8 этаж",https://krisha.kz/a/show/671758442,43 000 000 〒,Алматы,"Ауэзовский р-н, Райымбека 508 — Саина"
"3-комнатная квартира, 57 м², 5/5 этаж",https://krisha.kz/a/show/687928892,30 000 000 〒,Алматы,"Бостандыкский р-н, мкр Орбита-3"
"3-комнатная квартира, 67.4 м², 1/5 этаж",https://krisha.kz/a/show/687681992,47 000 000 〒,Алматы,"Жетысуский р-н, Райымбека"
"3-комнатная квартира, 72 м², 1/5 этаж",https://krisha.kz/a/show/682858956,55 000 000 〒,Алматы,"Ауэзовский р-н, мкр Мамыр-2"
"4-комнатная квартира, 93 м², 1/5 этаж",https://krisha.kz/a/show/682060622,43 000 000 〒,Алматы,"Алатауский р-н, Кисловодская улица — Ташкентская"
"2-комнатная квартира, 54 м², 1/4 этаж",https://krisha.kz/a/show/687833120,31 500 000 〒,Алматы,"Ауэзовский р-н, мкр №12 — Шаляпина"
"2-комнатная квартира, 63 м², 9/10 этаж",https://krisha.kz/a/show/686322932,62 000 000 〒,Алматы,"Медеуский р-н, Кенесары хана"
"2-комнатная квартира, 48.4 м², 6/9 этаж",https://krisha.kz/a/show/687407216,28 000 000 〒,Алматы,"Ауэзовский р-н, Толе би 285 — Отеген батыра"
"2-комнатная квартира, 62.5 м², 1/12 этаж",https://krisha.kz/a/show/686787851,44 688 000 〒,Алматы,"Алмалинский р-н, Мұратбаева 14/7 — Мақатаева"
"2-комнатная квартира, 60 м², 5/5 этаж",https://krisha.kz/a/show/685508694,32 000 000 〒,Алматы,"Жетысуский р-н, мкр Айнабулак-4"
"2-комнатная квартира, 53 м², 2/5 этаж",https://krisha.kz/a/show/687859313,35 000 000 〒,Алматы,"Алмалинский р-н, Гоголя — Гани Муратбаева"
"1-комнатная квартира, 39.1 м², 9/9 этаж",https://krisha.kz/a/show/686851849,23 000 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Райымбека — Жуалы"
"2-комнатная квартира, 67.1 м²",https://krisha.kz/a/show/686712859,46 900 000 〒,Алматы,"Бостандыкский р-н, Кенесары хана"
"3-комнатная квартира, 85 м², 3/9 этаж",https://krisha.kz/a/show/682556087,48 500 000 〒,Алматы,"Медеуский р-н, мкр Атырау, Кульджинский тракт"
"3-комнатная квартира, 71 м², 3/5 этаж",https://krisha.kz/a/show/679531520,47 500 000 〒,Алматы,"Ауэзовский р-н, мкр Мамыр-2 — Шаляпина Саина"
"5-комнатная квартира, 205 м², 9/9 этаж",https://krisha.kz/a/show/688055588,135 000 000 〒,Алматы,"Бостандыкский р-н, проспект Аль-Фараби 47/79"
"3-комнатная квартира, 56 м², 3/3 этаж",https://krisha.kz/a/show/686972140,45 000 000 〒,Алматы,"Наурызбайский р-н, мкр Каргалы, Акселеу Сейдимбек 110/1"
"2-комнатная квартира, 73.5 м², 4/20 этаж",https://krisha.kz/a/show/682800114,65 000 000 〒,Алматы,"Бостандыкский р-н, Гагарина 310 — Аль Фараби"
"2-комнатная квартира, 54 м², 12/13 этаж",https://krisha.kz/a/show/681888203,48 000 000 〒,Алматы,"Алмалинский р-н, мкр Тастак-2, Варламова 1/3 — ул. Варламова уг. Карасай батыра"
"2-комнатная квартира, 72.9 м², 5/13 этаж",https://krisha.kz/a/show/687553942,30 399 300 〒,Алматы,"Ауэзовский р-н, проспект Райымбека 348А"
"5-комнатная квартира, 182 м²",https://krisha.kz/a/show/685091200,75 000 000 〒,Алматы,"Бостандыкский р-н, мкр Ерменсай, Алатау 13"
"1-комнатная квартира, 46.6 м², 9/13 этаж",https://krisha.kz/a/show/687663083,21 948 600 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Райымбека 348/1"
"2-комнатная квартира, 72.9 м², 2/13 этаж",https://krisha.kz/a/show/687492830,29 670 300 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Емцова"
"1-комнатная квартира, 51 м², 8/10 этаж",https://krisha.kz/a/show/683274557,26 700 000 〒,Алматы,"Алатауский р-н, мкр Акбулак, Чуланова 151 — Чуланова 151"
"3-комнатная квартира, 76 м², 9/9 этаж",https://krisha.kz/a/show/674239826,33 500 000 〒,Алматы,"Турксибский р-н, мкр Жас Канат"
"3-комнатная квартира, 72 м², 3/9 этаж",https://krisha.kz/a/show/663365779,43 000 000 〒,Алматы,"Ауэзовский р-н, мкр Аксай-4"
"1-комнатная квартира, 56.19 м², 2/13 этаж",https://krisha.kz/a/show/687492624,25 903 590 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Емцова"
"2-комнатная квартира, 66 м², 13/13 этаж",https://krisha.kz/a/show/687306372,36 000 000 〒,Алматы,"Турксибский р-н, Майлина"
"1-комнатная квартира, 39 м², 9/9 этаж",https://krisha.kz/a/show/679849343,23 500 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла — Нурлы"
"3-комнатная квартира, 78 м², 1/6 этаж",https://krisha.kz/a/show/676880516,40 000 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Жунисова"
"2-комнатная квартира, 72.9 м², 5/13 этаж",https://krisha.kz/a/show/685221665,30 399 300 〒,Алматы,Райымбека 348/1
"1-комнатная квартира, 46.6 м², 5/14 этаж",https://krisha.kz/a/show/684952270,21 948 600 〒,Алматы,"Алмалинский р-н, Райымбека 348/1"
"3-комнатная квартира, 74.2 м², 2/4 этаж",https://krisha.kz/a/show/678361617,49 500 000 〒,Алматы,"Алмалинский р-н, Абая — Масанчи"
"2-комнатная квартира, 56.18 м²",https://krisha.kz/a/show/678123596,от 21 067 500 〒,Алматы,Алтын Орда 34
"3-комнатная квартира, 94.3 м²",https://krisha.kz/a/show/687983597,от 42 435 000 〒,Алматы,"Алатауский р-н, Бауыржана Момышулы 11/1"
"3-комнатная квартира, 105.1 м²",https://krisha.kz/a/show/660375337,от 105 100 000 〒,Алматы,"Бостандыкский р-н, Абая 28а​"
